turn 1: upper: THROW symbol r to (4, -1)
turn 88: lower: SWING from (-3, 4) to (-4, 3)
turn 89: upper: SLIDE from (-1, 4) to (0, 3)
turn 89: lower: SLIDE from (-4, 3) to (-4, 2)
turn 90: upper: SLIDE from (0, 3) to (0, 2)
turn 90: lower: SLIDE from (-2, -2) to (-2, -1)
turn 91: upper: SLIDE from (2, -3) to (1, -2)
turn 91: lower: SLIDE from (-4, 2) to (-4, 1)
turn 92: upper: SLIDE from (0, 2) to (1, 1)
turn 92: lower: SLIDE from (-2, -1) to (-3, 0)
turn 93: upper: SLIDE from (1, -2) to (0, -2)
turn 93: lower: SLIDE from (-4, 1) to (-4, 0)
turn 94: upper: SLIDE from (1, 1) to (1, 0)
turn 94: lower: SLIDE from (-4, 4) to (-3, 4)
turn 95: upper: SLIDE from (1, 0) to (0, 0)
turn 95: lower: SLIDE from (-3, 4) to (-3, 3)
turn 96: upper: SLIDE from (0, 0) to (0, -1)
turn 96: lower: SLIDE from (-4, 0) to (-4, 1)
turn 97: upper: SWING from (0, -1) to (-1, -2)
turn 97: lower: SLIDE from (-3, 3) to (-4, 4)
turn 98: upper: SWING from (0, -2) to (-2, -1)
turn 98: lower: SWING from (-3, 0) to (-4, 2)
turn 99: upper: SWING from (-1, -2) to (-3, 0)
turn 99: lower: SWING from (-4, 1) to (-4, 3)
turn 100: upper: SWING from (-2, -1) to (-3, 1)
turn 100: lower: SWING from (-4, 2) to (-3, 3)
turn 101: upper: SWING from (-3, 0) to (-4, 2)
turn 101: lower: SLIDE from (-3, 3) to (-2, 3)
turn 102: upper: SLIDE from (-4, 2) to (-4, 3)
turn 102: lower: SWING from (-4, 3) to (-3, 4)
turn 103: upper: SLIDE from (-4, 3) to (-3, 2)
turn 103: lower: SLIDE from (-2, 3) to (-1, 3)
turn 104: upper: SLIDE from (-3, 1) to (-2, 0)
turn 104: lower: SLIDE from (-3, 4) to (-2, 4)
turn 105: upper: SLIDE from (-3, 2) to (-2, 2)
turn 105: lower: SLIDE from (-2, 4) to (-1, 4)
